product_no,product_url,product_name,category,sub_category,price,fabric,fit_type,size_range,recommended_body_type,body_cover_features,style_tags,season,length_type,sleeve_type,color_options,recommended_age,coordination_items,product_summary,shoulder,chest,chest_measure_type,armhole,sleeve,sleeve_circumference,length,length_front,length_back,measurement_source,raw_measurements
28902,https://www.misharp.co.kr/product/detail.html?product_no=28902,실키 쿨 터치 베이직 반팔 티셔츠,블라우스/셔츠,셔츠,25100,,,55-66반,어깨좁음;하체통통,뱃살커버;허리라인보정,데일리;오피스룩,여름;겨울,기본,반팔,블랙;화이트;브라운;카키,4050,슬랙스;데님,★ SS제작 상의 77★ 【미샵 전직원 추천 원단!!!】,38.5,47,circumference,42,19,,,,,text,"[{""어깨단면"": ""38.5""}, {""암홀둘레"": ""42""}, {""소매길이"": ""19""}, {""가슴둘레"": ""94""}]"
28803,https://www.misharp.co.kr/product/detail.html?product_no=28803,S. 미샵 뮤즈 슬리밍 티셔츠,블라우스/셔츠,셔츠,26000,면35%와 폴리에스터58%를 혼방하여 면 특유의 쾌적함은 살리되 / 폴리에스터58%를 혼방하여 면 특유의 쾌적함은 살리되,슬림핏;정핏;레글런핏;캡소매,66-66반,어깨좁음;팔뚝통통;복부체형,팔뚝커버;뱃살커버;허리라인보정,페미닌;데일리;오피스룩;모임룩,봄;여름;겨울,기본,캡소매,블랙;아이보리;베이지,4050,슬랙스;데님;스커트,★ 회원전용 20% 세일 ★ 【사이즈별/여름 버전으로 제작】,,45.5,circumference,,24.5,,,,,text,"[{""소매길이"": ""24.5""}, {""가슴둘레"": ""91""}]"
25167,https://www.misharp.co.kr/product/detail.html?product_no=25167,미샵 써머 맨투맨 티셔츠,블라우스/셔츠,셔츠,32100,코튼52% 폴리48% 혼용의 요루 원단입니다 / 폴리48% 혼용의 요루 원단입니다,레글런핏,55-77,어깨좁음;복부체형,팔뚝커버;뱃살커버;허리라인보정,클래식;데일리;오피스룩,여름;겨울,기본,레글런소매,그레이,4050,슬랙스;데님,★ SS제작 상의 72 ★ 【인기 연그레이컬러만 마지막입고!】,,55,circumference,,38.5,,,,,text,"[{""소매길이"": ""38.5""}, {""가슴둘레"": ""110""}]"
28894,https://www.misharp.co.kr/product/detail.html?product_no=28894,로맨틱 무드 코튼 레이스 나시,,,25800,면 100% 소재를 사용하여 땀 흡수력이 뛰어나며 통기성이 매우 우수합니다 / 코튼100%의 실과 만나 과하지 않게 로맨틱한 포인트가 되는 나시형 조끼입니다,세미루즈;민소매핏,55-77,어깨좁음,뱃살커버;허리라인보정,페미닌;데일리;오피스룩,여름;가을;겨울,기본,민소매,아이보리;베이지,4050,데님;스커트,【코튼100 / 체형커버 굿】 【1차 입고량 완판/ 다음주 순차배송】,39,56.5,circumference,44,,,,,,text,"[{""어깨단면"": ""39""}, {""암홀둘레"": ""44""}, {""가슴둘레"": ""113""}]"
28989,https://www.misharp.co.kr/product/detail.html?product_no=28989,다림질 제로 링클 반팔 티셔츠,블라우스/셔츠,셔츠,29500,폴리에스터95% 스판5% 혼용 소재입니다 / 스판5% 혼용 소재입니다,루즈핏;세미루즈,55-77,어깨좁음;팔뚝통통;하체통통,팔뚝커버;뱃살커버;허리라인보정,데일리,여름;겨울,롱,반팔,블랙;화이트;베이지;네이비,4050,데님;스커트,"미샵 - 다림질 제로 링클 반팔 티셔츠 (4 color) 다림질 제로 링클 반팔 티셔츠 (4 color) (해외배송 가능상품) ( 건) 다림질 제로 링클 반팔 티셔츠 (4 color) 29,500원 290원 (1%) 재입고 알림 SMS 상품 옵션 컬러 - [필수] 옵션을 선택해 주세요 - ------------------- 화이트 베이지 네이비 블랙 옵션선택 상품 목록 상품명 상품수 가격 다",,56,circumference,,42,,,,,text,"[{""소매길이"": ""42""}, {""가슴둘레"": ""112""}]"
27648,https://www.misharp.co.kr/product/detail.html?product_no=27648,S. 미키 반팔 레이온 잠옷 세트룩,,,19800,폴리에스터95% 스판5% 소재입니다 / 스판5% 소재입니다,슬림핏;캡소매,55-88,어깨좁음;복부체형;하체통통,힙커버;허리라인보정,데일리;학모룩,봄;여름;가을,기본,캡소매,핑크;네이비,4050,데님,"【디즈니 라이센스/F(여성), XL(남성)】",54,56,circumference,46,24,,,,,text,"[{""어깨단면"": ""54""}, {""암홀둘레"": ""46""}, {""소매길이"": ""24""}, {""가슴둘레"": ""112""}]"
26320,https://www.misharp.co.kr/product/detail.html?product_no=26320,S. 카라 반오픈 반팔 블라우스,블라우스/셔츠,블라우스,39200,폴리 100% 소재로 들뜸 없이 여리한 결을 연출하고,,55-77,어깨좁음;하체통통,뱃살커버;힙커버;허리라인보정,클래식;데일리;오피스룩,봄;여름;겨울,기본,반팔,블랙;화이트;아이보리;베이지;그레이,4050,슬랙스;데님,"★미샵 SS제작 상의 67★ [누적 6,000장 판매 / 최강 여름 클래식T]",38.5,50.5,circumference,49,26,,,,,text,"[{""어깨단면"": ""38.5""}, {""암홀둘레"": ""49""}, {""소매길이"": ""26""}, {""가슴둘레"": ""101""}]"
28983,https://www.misharp.co.kr/product/detail.html?product_no=28983,레브 강연 냉감 캡소매 티셔츠,블라우스/셔츠,셔츠,24500,코튼70% 폴리에스터30% 혼용 소재입니다 / 코튼100% 소재에 비해서 내구성이 강하며 / 폴리에스터30% 혼용 소재입니다,루즈핏;세미루즈;캡소매,55-77,어깨좁음;팔뚝통통;하체통통,팔뚝커버;뱃살커버;허리라인보정,데일리;오피스룩,여름;겨울,기본,캡소매,아이보리;그레이,4050,슬랙스;데님;스커트,【고급 워드 자수】,,,,,,,,,,table,"[{""레브 강연 냉감 캡소매 티셔츠 (3 color)"": """"}]"
28837,https://www.misharp.co.kr/product/detail.html?product_no=28837,S. 맨투맨 반팔 블라우스,블라우스/셔츠,블라우스,32500,폴리에스터19% 혼용 소재입니다 / 레이온81% 폴리에스터19% 혼용 소재입니다,,55-77,어깨좁음;팔뚝통통;하체통통,팔뚝커버;뱃살커버;허리라인보정,클래식;데일리;오피스룩,여름;겨울,롱,반팔,블랙,4050,슬랙스;데님;스커트,【컬러별 재구매율 1위】,42,56,circumference,49,22,,,,,text,"[{""어깨단면"": ""42""}, {""암홀둘레"": ""49""}, {""소매길이"": ""22""}, {""가슴둘레"": ""112""}]"
28796,https://www.misharp.co.kr/product/detail.html?product_no=28796,샌드 배색 스트라이프 티셔츠,블라우스/셔츠,셔츠,26000,코튼100% 소재입니다,세미루즈,55-77,어깨좁음;팔뚝통통,팔뚝커버;힙커버;허리라인보정,클래식;데일리;오피스룩,봄;여름;겨울,하프,긴팔,아이보리;베이지;네이비;브라운;카키,4050,데님;스커트,★ SS제작 상의 64 ★ 【브랜드 공정의 클래식 링거T】,42,49,circumference,44,19.5,,,,,text,"[{""어깨단면"": ""42""}, {""암홀둘레"": ""44""}, {""소매길이"": ""19.5""}, {""가슴둘레"": ""98""}]"
